model,model_label,job_id,trace_id,status,reward,error,question_id,task,question_index,duration_seconds,eval_score,eval_status,eval_error,agent_text_chars,submit_calls,submitted_answer_chars,setup_prompt_chars,tool_error,subscores_json,run_set
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,053663cb-caa9-48fb-875b-f7bc119918fe,completed,0.9424778761061948,,DBEVAL-V0-010,AnoleGeneParse,10,28.139731,0.9424778761061948,scored,,1699.0,1.0,70.0,3332.0,,"{""intron_boundary_score"": 0.031496062992125984, ""intron_count_accuracy"": 1.0, ""intron_interval_f1_at_iou_0_8"": 0.5, ""precision"": 0.5, ""recall"": 0.5, ""spliced_sequence_levenshtein_similarity"": 0.9424778761061947}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,905c0649-f91e-4cfa-a9cb-160fb76f6532,completed,0.0,,DBEVAL-V0-009,AnoleGeneParse,9,21.704084,0.0,scored,,641.0,1.0,128.0,3101.0,,"{""intron_boundary_score"": 0.03418803418803419, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.0}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,5e74196b-13e9-4304-ad30-cada8b656660,completed,0.0,,DBEVAL-V0-004,AnoleGeneParse,4,27.095346,0.0,scored,,1555.0,1.0,71.0,2809.0,,"{""intron_boundary_score"": 0.06451612903225806, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.6666666666666666, ""precision"": 0.5, ""recall"": 1.0, ""spliced_sequence_levenshtein_similarity"": 0.0}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,239ec45a-2da2-4d26-9216-1da56a2ac8bb,completed,0.7533252720677146,,DBEVAL-V0-007,AnoleGeneParse,7,21.094342,0.7533252720677146,scored,,754.0,1.0,71.0,2724.0,,"{""intron_boundary_score"": 0.01652892561983471, ""intron_count_accuracy"": 1.0, ""intron_interval_f1_at_iou_0_8"": 0.5, ""precision"": 0.5, ""recall"": 0.5, ""spliced_sequence_levenshtein_similarity"": 0.7533252720677146}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,c0509ca6-a1c6-44eb-ad27-525976cdc105,completed,0.0,,DBEVAL-V0-001,AnoleGeneParse,1,19.718694,0.0,scored,,361.0,1.0,98.0,2266.0,,"{""intron_boundary_score"": 0.05128205128205128, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.0}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,8a921f8a-df43-40f5-a0c4-e7e194c7a893,completed,0.7672514619883041,,DBEVAL-V0-003,AnoleGeneParse,3,26.462737,0.7672514619883041,scored,,1820.0,1.0,102.0,2634.0,,"{""intron_boundary_score"": 0.07407407407407407, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.5, ""precision"": 0.3333333333333333, ""recall"": 1.0, ""spliced_sequence_levenshtein_similarity"": 0.7672514619883041}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,619a8cd0-6552-41d0-af68-e8cee15964ff,completed,0.8801498127340824,,DBEVAL-V0-005,AnoleGeneParse,5,27.403671,0.8801498127340824,scored,,1803.0,1.0,41.0,2950.0,,"{""intron_boundary_score"": 0.058823529411764705, ""intron_count_accuracy"": 1.0, ""intron_interval_f1_at_iou_0_8"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""spliced_sequence_levenshtein_similarity"": 0.8801498127340824}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,c96daa41-42e5-4cb7-931e-e4ae0e83aa2f,completed,0.6090047393364929,,DBEVAL-V0-006,AnoleGeneParse,6,20.367837,0.6090047393364929,scored,,788.0,1.0,181.0,2347.0,,"{""intron_boundary_score"": 0.01932367149758454, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.6090047393364929}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,4034bd3a-a068-454f-9caf-3cd1b9b64a3b,completed,0.8964968152866242,,DBEVAL-V0-008,AnoleGeneParse,8,20.10255,0.8964968152866242,scored,,541.0,1.0,128.0,2929.0,,"{""intron_boundary_score"": 0.005970149253731343, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.8964968152866242}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,6e3f1ffd-b35c-4924-b33b-5a45345db63c,completed,0.0,,DBEVAL-V0-002,AnoleGeneParse,2,20.875245,0.0,scored,,798.0,1.0,15.0,2465.0,,"{""intron_boundary_score"": 0.0, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.0}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,d41392b6-29e4-4cc1-bd94-b007fb50b1ca,completed,0.7079556898288016,,DBEVAL-V0-011,AnoleGeneParse,11,22.499449,0.7079556898288016,scored,,1441.0,1.0,131.0,3207.0,,"{""intron_boundary_score"": 0.00975609756097561, ""intron_count_accuracy"": 0.6666666666666667, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.7079556898288016}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,8fe97c5e-f66e-41ff-b738-e8bca53e9020,completed,0.9491421568627452,,DBEVAL-V0-012,AnoleGeneParse,12,24.287416,0.9491421568627452,scored,,1479.0,1.0,128.0,3386.0,,"{""intron_boundary_score"": 0.03614457831325301, ""intron_count_accuracy"": 0.6666666666666667, ""intron_interval_f1_at_iou_0_8"": 0.28571428571428575, ""precision"": 0.25, ""recall"": 0.3333333333333333, ""spliced_sequence_levenshtein_similarity"": 0.9491421568627451}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,4fa0920a-5763-41da-9753-a0d0e2e6947a,completed,0.954519613416714,,DBEVAL-V0-013,AnoleGeneParse,13,16.700574,0.954519613416714,scored,,570.0,1.0,130.0,3503.0,,"{""intron_boundary_score"": 0.017191977077363897, ""intron_count_accuracy"": 0.6666666666666667, ""intron_interval_f1_at_iou_0_8"": 0.5714285714285715, ""precision"": 0.5, ""recall"": 0.6666666666666666, ""spliced_sequence_levenshtein_similarity"": 0.954519613416714}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,8790a0a3-b978-4a51-bb65-d69e84c55c58,completed,0.2071778140293637,,DBEVAL-V0-014,AnoleGeneParse,14,24.834932,0.2071778140293637,scored,,1769.0,1.0,101.0,3722.0,,"{""intron_boundary_score"": 0.002291825821237586, ""intron_count_accuracy"": 1.0, ""intron_interval_f1_at_iou_0_8"": 0.3333333333333333, ""precision"": 0.3333333333333333, ""recall"": 0.3333333333333333, ""spliced_sequence_levenshtein_similarity"": 0.20717781402936375}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,4f1d7e53-03f9-407c-a777-0a4d7a403643,completed,0.8265536723163842,,DBEVAL-V0-015,AnoleGeneParse,15,18.065694,0.8265536723163842,scored,,652.0,1.0,130.0,3844.0,,"{""intron_boundary_score"": 0.013071895424836602, ""intron_count_accuracy"": 0.6666666666666667, ""intron_interval_f1_at_iou_0_8"": 0.5714285714285715, ""precision"": 0.5, ""recall"": 0.6666666666666666, ""spliced_sequence_levenshtein_similarity"": 0.8265536723163842}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,60d7660d-dc18-4527-b02b-ee5451828bab,completed,0.4874551971326165,,DBEVAL-V0-016,AnoleGeneParse,16,24.042287,0.4874551971326165,scored,,1301.0,1.0,97.0,2300.0,,"{""intron_boundary_score"": 0.009603841536614645, ""intron_count_accuracy"": 0.75, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.48745519713261654}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,f992ec52-8be6-480b-88b4-813860e9ff5c,completed,0.9945295404814004,,DBEVAL-V0-017,AnoleGeneParse,17,23.393611,0.9945295404814004,scored,,1568.0,1.0,42.0,3423.0,,"{""intron_boundary_score"": 0.0018315018315018315, ""intron_count_accuracy"": 0.25, ""intron_interval_f1_at_iou_0_8"": 0.4, ""precision"": 1.0, ""recall"": 0.25, ""spliced_sequence_levenshtein_similarity"": 0.9945295404814004}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,9925d4f0-fa2d-4f10-8db9-ba78f5a573ba,completed,0.8863031914893618,,DBEVAL-V0-018,AnoleGeneParse,18,17.565569,0.8863031914893618,scored,,604.0,1.0,160.0,3697.0,,"{""intron_boundary_score"": 0.053691275167785234, ""intron_count_accuracy"": 0.75, ""intron_interval_f1_at_iou_0_8"": 0.4444444444444445, ""precision"": 0.4, ""recall"": 0.5, ""spliced_sequence_levenshtein_similarity"": 0.8863031914893618}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,4e749591-b651-4783-93cb-14400d7c5d6c,completed,0.7119360902255639,,DBEVAL-V0-019,AnoleGeneParse,19,21.346051,0.7119360902255639,scored,,1276.0,1.0,131.0,3960.0,,"{""intron_boundary_score"": 0.004828002414001207, ""intron_count_accuracy"": 1.0, ""intron_interval_f1_at_iou_0_8"": 0.25, ""precision"": 0.25, ""recall"": 0.25, ""spliced_sequence_levenshtein_similarity"": 0.7119360902255639}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,1597500d-750a-4ee0-8dac-bb78c4d2103f,completed,0.8626716604244694,,DBEVAL-V0-020,AnoleGeneParse,20,19.233984,0.8626716604244694,scored,,880.0,1.0,192.0,4031.0,,"{""intron_boundary_score"": 0.017241379310344827, ""intron_count_accuracy"": 0.5, ""intron_interval_f1_at_iou_0_8"": 0.2, ""precision"": 0.16666666666666666, ""recall"": 0.25, ""spliced_sequence_levenshtein_similarity"": 0.8626716604244694}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,d82256e7-e3c9-4a47-9937-e2510a1a2d97,completed,0.0,,DBEVAL-V0-021,AnolePromoterExpression,21,12.797679,0.0,scored,,168.0,1.0,116.0,3305.0,,"{""ranking_completeness"": 1.0, ""spearman_rank_correlation"": -0.36666666666666664}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,7665d9ba-de8a-4972-a164-adfd5371216c,completed,0.0,,DBEVAL-V0-022,AnolePromoterExpression,22,13.394986,0.0,scored,,334.0,1.0,116.0,3305.0,,"{""ranking_completeness"": 1.0, ""spearman_rank_correlation"": -0.049999999999999996}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,983611d8-5dc8-4c64-86f1-c77cff679faa,completed,0.5333333333333332,,DBEVAL-V0-023,AnolePromoterExpression,23,13.817962,0.5333333333333332,scored,,164.0,1.0,116.0,3305.0,,"{""ranking_completeness"": 1.0, ""spearman_rank_correlation"": 0.5333333333333332}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,2c43ad76-4db5-4423-bc9a-fd4508a83335,completed,0.2166666666666666,,DBEVAL-V0-024,AnolePromoterExpression,24,17.082042,0.2166666666666666,scored,,401.0,1.0,116.0,3305.0,,"{""ranking_completeness"": 1.0, ""spearman_rank_correlation"": 0.21666666666666665}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,561cd17a-8c97-4329-9699-ab6e23097fa5,completed,0.0,,DBEVAL-V0-025,AnolePromoterExpression,25,19.762317,0.0,scored,,76.0,1.0,116.0,3305.0,,"{""ranking_completeness"": 1.0, ""spearman_rank_correlation"": -0.16666666666666666}",
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,2a585cd2-65a7-402d-b074-2d1cbef53282,completed,0.0,,DBEVAL-V0-026,AnolePromoterExpression,26,16.570474,0.0,scored,,169.0,1.0,116.0,3305.0,,"{""ranking_completeness"": 1.0, ""spearman_rank_correlation"": -0.08333333333333333}",
