model,model_label,question_id,question_index,task,replacement_source,replacement_pass,old_job_id,old_trace_id,old_status,old_reward,new_job_id,new_trace_id,new_status,new_reward,new_error
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-013,13,AnoleGeneParse,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,23364573-b5cb-4f61-857f-c67bed8a1144,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,ad150baa-5611-49d2-b2b6-cfe5fdbd3427,completed,1.0,
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-041,41,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,ec2171f0-422c-4bee-8786-ae6d89041e3c,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,9c4d6ca6-ac92-4a45-8fce-b5fb4f6d9b35,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-042,42,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,b2e196be-a679-4820-bb89-533b9233f67f,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,30036b96-933a-4a16-80e7-bcc4b6ea0288,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-043,43,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,34efd04d-74b4-48db-b760-9a43a8e3f0ed,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,824f5394-cd95-448c-9337-953f0e0ce1d2,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-044,44,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,cbd5f65f-feee-4434-aa24-3976494fa798,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,0c847d66-62ed-421e-abfd-7706d83eb332,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-045,45,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,4c682c24-1ed8-4248-8fd7-30dedb95ecf2,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,0a391772-2dc8-48e9-8f3b-74fec024daf9,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-046,46,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,2aee2f6f-0a77-4b37-a494-7e1540876dc8,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,9f058647-89f5-4983-9dfa-4182afb4da6d,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-047,47,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,45f9922f-56f5-41b9-ab25-21d51a588f92,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,5ebd26c5-e786-4014-8188-d7a923b0ded1,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-048,48,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,ab497b0e-8411-471c-b381-16c6f62c6fa8,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,1a4e7e12-7f17-479e-8869-f9160278739a,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-049,49,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,b74a257a-cc11-46b4-8cea-e40e331e7858,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,8a0bb53d-78d3-4f5e-86cd-916d51181d53,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-050,50,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,1851afec-ff52-4b33-88fb-ac52b198190c,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,760f6ca0-1bac-4f6c-9a7b-f6b5d42f2def,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-051,51,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,2bfb3476-be20-4dde-944c-26f531f959f7,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,33cd7f50-2c4a-4496-ba60-f9997ba1b45d,error,0.0,"503 upstream_overloaded. {'error': {'code': 503, 'message': ""no healthy keys for provider 'gemini'"", 'status': 'upstream_overloaded'}}"
gemini-3.1-pro-preview,Gemini 3.1 Pro,DBEVAL-V0-052,52,KomodoProteinFold,error_retry_terminal,first_retry,a22bf38c-950f-482d-88b7-8f471a6d2c57,24880242-95c4-4382-9c72-52fd8c26e92c,error,0.0,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,122c61e3-7ee3-40dd-83ac-34e322225e5e,error,0.0,"503 upstream_overloaded. {'error': {'code': 503, 'message': ""no healthy keys for provider 'gemini'"", 'status': 'upstream_overloaded'}}"
