model,model_label,job_id,trace_id,status,reward,error,question_id,task,question_index,duration_seconds,eval_score,eval_status,eval_error,agent_text_chars,submit_calls,submitted_answer_chars,setup_prompt_chars,tool_error,subscores_json
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,053663cb-caa9-48fb-875b-f7bc119918fe,completed,0.9424778761061947,,DBEVAL-V0-010,AnoleGeneParse,10,28.139731,0.9424778761061947,scored,,1699,1,70.0,3332,,"{""intron_boundary_score"": 0.031496062992125984, ""intron_count_accuracy"": 1.0, ""intron_interval_f1_at_iou_0_8"": 0.5, ""precision"": 0.5, ""recall"": 0.5, ""spliced_sequence_levenshtein_similarity"": 0.9424778761061947}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,905c0649-f91e-4cfa-a9cb-160fb76f6532,completed,0.0,,DBEVAL-V0-009,AnoleGeneParse,9,21.704084,0.0,scored,,641,1,128.0,3101,,"{""intron_boundary_score"": 0.03418803418803419, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.0}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,5e74196b-13e9-4304-ad30-cada8b656660,completed,0.0,,DBEVAL-V0-004,AnoleGeneParse,4,27.095346,0.0,scored,,1555,1,71.0,2809,,"{""intron_boundary_score"": 0.06451612903225806, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.6666666666666666, ""precision"": 0.5, ""recall"": 1.0, ""spliced_sequence_levenshtein_similarity"": 0.0}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,239ec45a-2da2-4d26-9216-1da56a2ac8bb,completed,0.7533252720677146,,DBEVAL-V0-007,AnoleGeneParse,7,21.094342,0.7533252720677146,scored,,754,1,71.0,2724,,"{""intron_boundary_score"": 0.01652892561983471, ""intron_count_accuracy"": 1.0, ""intron_interval_f1_at_iou_0_8"": 0.5, ""precision"": 0.5, ""recall"": 0.5, ""spliced_sequence_levenshtein_similarity"": 0.7533252720677146}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,c0509ca6-a1c6-44eb-ad27-525976cdc105,completed,0.0,,DBEVAL-V0-001,AnoleGeneParse,1,19.718694,0.0,scored,,361,1,98.0,2266,,"{""intron_boundary_score"": 0.05128205128205128, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.0}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,8a921f8a-df43-40f5-a0c4-e7e194c7a893,completed,0.7672514619883041,,DBEVAL-V0-003,AnoleGeneParse,3,26.462737,0.7672514619883041,scored,,1820,1,102.0,2634,,"{""intron_boundary_score"": 0.07407407407407407, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.5, ""precision"": 0.3333333333333333, ""recall"": 1.0, ""spliced_sequence_levenshtein_similarity"": 0.7672514619883041}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,619a8cd0-6552-41d0-af68-e8cee15964ff,completed,0.8801498127340824,,DBEVAL-V0-005,AnoleGeneParse,5,27.403671,0.8801498127340824,scored,,1803,1,41.0,2950,,"{""intron_boundary_score"": 0.058823529411764705, ""intron_count_accuracy"": 1.0, ""intron_interval_f1_at_iou_0_8"": 1.0, ""precision"": 1.0, ""recall"": 1.0, ""spliced_sequence_levenshtein_similarity"": 0.8801498127340824}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,c96daa41-42e5-4cb7-931e-e4ae0e83aa2f,completed,0.6090047393364929,,DBEVAL-V0-006,AnoleGeneParse,6,20.367837,0.6090047393364929,scored,,788,1,181.0,2347,,"{""intron_boundary_score"": 0.01932367149758454, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.6090047393364929}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,4034bd3a-a068-454f-9caf-3cd1b9b64a3b,completed,0.8964968152866242,,DBEVAL-V0-008,AnoleGeneParse,8,20.10255,0.8964968152866242,scored,,541,1,128.0,2929,,"{""intron_boundary_score"": 0.005970149253731343, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.8964968152866242}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,6e3f1ffd-b35c-4924-b33b-5a45345db63c,completed,0.0,,DBEVAL-V0-002,AnoleGeneParse,2,20.875245,0.0,scored,,798,1,15.0,2465,,"{""intron_boundary_score"": 0.0, ""intron_count_accuracy"": 0.0, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.0}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,d41392b6-29e4-4cc1-bd94-b007fb50b1ca,completed,0.7079556898288016,,DBEVAL-V0-011,AnoleGeneParse,11,22.499449,0.7079556898288016,scored,,1441,1,131.0,3207,,"{""intron_boundary_score"": 0.00975609756097561, ""intron_count_accuracy"": 0.6666666666666667, ""intron_interval_f1_at_iou_0_8"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""spliced_sequence_levenshtein_similarity"": 0.7079556898288016}"
claude-opus-4-8,Opus 4.8,d0785f45-515b-4721-aa3c-d948dc5dd0f2,8fe97c5e-f66e-41ff-b738-e8bca53e9020,completed,0.9491421568627451,,DBEVAL-V0-012,AnoleGeneParse,12,24.287416,0.9491421568627451,scored,,1479,1,128.0,3386,,"{""intron_boundary_score"": 0.03614457831325301, ""intron_count_accuracy"": 0.6666666666666667, ""intron_interval_f1_at_iou_0_8"": 0.28571428571428575, ""precision"": 0.25, ""recall"": 0.3333333333333333, ""spliced_sequence_levenshtein_similarity"": 0.9491421568627451}"
