task_id,model,role,reward,file
"DBEVAL-V0-056","Opus 4.8","higher_score","0.987319","individual_named/DBEVAL-V0-056_opus48_reward0p987_vs_truth.png"
"DBEVAL-V0-056","GPT-5","lower_score","0.148551","individual_named/DBEVAL-V0-056_gpt5_reward0p149_vs_truth.png"
"DBEVAL-V0-050","Opus 4.8","higher_score","0.7314077025232404","individual_named/DBEVAL-V0-050_opus48_reward0p731_vs_truth.png"
"DBEVAL-V0-050","GPT-5.5","lower_score","0.149734395750332","individual_named/DBEVAL-V0-050_gpt55_reward0p150_vs_truth.png"
"DBEVAL-V0-056","GPT-5.5","lower_score","0.1485507246376811","individual_named/DBEVAL-V0-056_gpt55_reward0p149_vs_truth.png"
"DBEVAL-V0-053","Opus 4.8","higher_score","0.5533262935586061","individual_named/DBEVAL-V0-053_opus48_reward0p553_vs_truth.png"
"DBEVAL-V0-053","GPT-5.4 mini","lower_score","0.0311510031678986","individual_named/DBEVAL-V0-053_gpt54mini_reward0p031_vs_truth.png"
"DBEVAL-V0-058","Opus 4.8","higher_score","0.6938325991189427","individual_named/DBEVAL-V0-058_opus48_reward0p694_vs_truth.png"
"DBEVAL-V0-058","GPT-5.5","lower_score","0.1696035242290749","individual_named/DBEVAL-V0-058_gpt55_reward0p170_vs_truth.png"
"DBEVAL-V0-059","Opus 4.8","higher_score","0.5391692954784437","individual_named/DBEVAL-V0-059_opus48_reward0p539_vs_truth.png"
"DBEVAL-V0-059","GPT-5.4 mini","lower_score","0.0428496319663512","individual_named/DBEVAL-V0-059_gpt54mini_reward0p043_vs_truth.png"
"DBEVAL-V0-048","GPT-5.4","higher_score","0.5477493917274939","individual_named/DBEVAL-V0-048_gpt54_reward0p548_vs_truth.png"
"DBEVAL-V0-048","GPT-5.4 mini","lower_score","0.1222627737226277","individual_named/DBEVAL-V0-048_gpt54mini_reward0p122_vs_truth.png"
"DBEVAL-V0-047","GPT-5.4","higher_score","0.5013858093126385","individual_named/DBEVAL-V0-047_gpt54_reward0p501_vs_truth.png"
"DBEVAL-V0-047","GPT-5","lower_score","0.1383037694013303","individual_named/DBEVAL-V0-047_gpt5_reward0p138_vs_truth.png"
"DBEVAL-V0-045","Opus 4.8","higher_score","0.3450226244343891","individual_named/DBEVAL-V0-045_opus48_reward0p345_vs_truth.png"
"DBEVAL-V0-045","GPT-4o","lower_score","0.0295733678086619","individual_named/DBEVAL-V0-045_gpt4o_reward0p030_vs_truth.png"
